,title,content,author,category
0,"8, 7, 6.6, 5.8, 5 & 4.5 is the state of economy: Chidambaram on GDP growth","Former Finance Minister P Chidambaram on Thursday said, ""Nothing sums up the state of the economy better than the following series of numbers: 8, 7, 6.6, 5.8, 5 and 4.5."" He added, ""Those are the quarterly growth rates of GDP in the last six quarters."" ""We'll be lucky if growth rate touches 5% by the year's end,"" he further said.",Pragya Swastik,business
1,Google Co-founders gain $2.3B after Sundar Pichai made Alphabet CEO,"Google Co-founders Sergey Brin and Larry Page added a combined $2.3 billion to their net worths after Google-parent Alphabet's stock rose about 2%, Bloomberg revealed. This came after Google's 47-year-old India-born CEO Sundar Pichai on Wednesday was also named Alphabet CEO. The two co-founders each own about 6% of the internet giant and still control Alphabet through special voting shares.",Kanishka Pandey,business
2,Sundar Pichai rejected Google shares worth millions in 2018: Bloomberg,"Google's 47-year-old India-born CEO Sundar Pichai, recently named the CEO of Google-parent Alphabet as well, rejected a ""big new grant"" of restricted stock in 2018 because he felt he was already paid generously, Bloomberg reported. Pichai, who joined Google in 2004, was made its CEO in 2015. He reportedly hasn't received an equity award in over two years.",Kanishka Pandey,business
3,Gut feeling drove me to invest $20M in Alibaba in 2000: SoftBank CEO,"SoftBank Founder and CEO Masayoshi Son, in a discussion with Alibaba Co-founder Jack Ma, said his decision to invest $20 million in the e-commerce platform in 2000 was driven by a gut feeling. Son said other founders he met then didn't have ""true belief in their heart"". Ma revealed that Son initially tried to invest $50 million, but he declined. ",Kanishka Pandey,business
4,Maharashtra govt suggests merger of PMC Bank with MSC Bank,"In a bid to provide relief to depositors of scam-hit Punjab and Maharashtra Cooperative (PMC) Bank, Maharashtra government has suggested a merger of the bank with the Maharashtra State Cooperative Bank. If needed, the state government will speak to the RBI on the issue of the merger, state minister Jayant Patil said. He added that MSC Bank's health is good.",Krishna Veera Vanamali,business
5,"Nirav Modi declared fugitive economic offender over ₹14,000-crore PNB scam","Nirav Modi has been declared a fugitive economic offender under Fugitive Economic Offenders Act by a special Mumbai court in connection with ₹14,000-crore Punjab National Bank scam case. The court will also give a judgement regarding confiscation of his properties later. Nirav is currently lodged in the UK's Wandsworth Prison.",Arshiya Chopra,business
6,Asian Development Bank approves $1 billion emergency loan for Pakistan,"The Asian Development Bank (ADB) has approved an emergency loan worth $1 billion for Pakistan. The loan is part of a multi-donor economic reform programme led by the IMF to ""shore up (Pakistan's) public finances"" and help strengthen its ""slowing economy"", ADB said. It also approved a $300 million policy-based loan for Pakistan for the country's energy sector.",Nandini Sinha,business
7,Saudi Aramco raises $25.6 billion in world's biggest IPO yet,"State-controlled oil giant Saudi Aramco has raised $25.6 billion in the world's largest initial public offering (IPO) yet. The record was earlier held by Chinese conglomerate Alibaba's $25 billion listing on the New York Stock Exchange in 2014. Valued at nearly $1.7 trillion in the IPO, Aramco sold 1.5% or 3 billion shares for 32 riyals or $8.53 each.",Dharna,business
8,Want control of manufacturing if we win $15bn India fighter jet deal: Saab,"Swedish manufacturer Saab has said it wants to control the ""entire system"" including local manufacturing if it wins India's $15-billion contract for 114 fighter jets. Saab has partnered with Adani Group for the bid. ""If a company needs to take responsibility for quality, time, cost and capability...I want to have some sort of control of that,"" CEO Micael Johansson said.",Krishna Veera Vanamali,business
9,"Air India's loss in 2018-19 provisionally estimated at record ₹8,556 crore","Air India's loss in 2018-19 has been provisionally estimated at ₹8,556 crore, compared to a loss of ₹5,348 crore in the previous year, Civil Aviation Minister Hardeep Singh Puri said in the Lok Sabha. This is Air India's biggest loss since its merger with Indian Airlines in 2007-08. The national carrier has received equity infusion of ₹30,520 crore since 2011-12.",Krishna Veera Vanamali,business
10,RBI survey shows Indian consumers most pessimistic in over 5 years,"An RBI survey showed that consumer confidence in India has dropped to its lowest since at least 2014. The Current Situation Index fell to 85.7 in November from 89.4 in September, according to the survey, where a reading below 100 denotes pessimism. Consumers across 13 big cities were surveyed about perceptions on the economic situation, employment, price levels and income.",Krishna Veera Vanamali,business
11,Jaigarh LNG terminal to launch in 1st quarter 2020: Hiranandani's H-Energy,"Hiranandani Group's H-Energy on Thursday said it expects its liquefied natural gas (LNG) import terminal at Maharashtra's Jaigarh to start operations in the first quarter of 2020. The terminal will be India's first floating storage and regasification unit (FSRU). It has been delayed on several occasions, with the previous deadline being the fourth quarter of this year.",Krishna Veera Vanamali,business
12,RBI cuts India's GDP growth forecast for the current fiscal to 5%,"The RBI on Thursday lowered its GDP growth forecast for 2019-20 to 5% from 6.1% in the October policy. While it kept the repo rate unchanged at 5.15%, the RBI reiterated that it would maintain an accommodative stance as long as it is necessary to revive growth. ""There is space available for further monetary policy action,"" Governor Shaktikanta Das said.",Krishna Veera Vanamali,business
13,Indonesia fires flag carrier's CEO for smuggling ₹41 lakh Harley on jet,"The Indonesian government has decided to fire flag carrier Garuda Indonesia's CEO Ari Askhara for smuggling a Harley-Davidson bike worth ₹41 lakh into the country on a new Airbus plane from France. Askhara had ordered the bike last year and bought it in April 2019. The payment was made through a Garuda finance manager based in Amsterdam, the government said.
",Krishna Veera Vanamali,business
14,RBI probing net banking and mobile banking outage at HDFC Bank,"The RBI has said it is investigating the two-day outage of net banking and mobile banking operations of HDFC Bank. ""Our team has gone to really identify the reasons and find out what we can give them (HDFC Bank) as a direction,"" RBI Deputy Governor MK Jain said. The bank restored the services fully by Thursday morning.",Krishna Veera Vanamali,business
15,Vodafone Idea will have to shut shop if there's no govt relief: Kumar Birla,"Vodafone Idea Chairman Kumar Mangalam Birla has warned the operator ""will have to shut shop"" if the government doesn't provide relief on payment of ₹53,038-crore dues following a court ruling. ""It doesn't make sense to put good money after bad,"" Birla said. The government publicly stated it wants three players from private sector and one from public sector, he added.",Krishna Veera Vanamali,business
